"","op_code","site_full","site_code","type","geog","date","day","month","year","bruv","period_time_hms","time","minute","second","visibility","habitat","subclass","family","scientific_name","genus","species","common","code","sp_code","number","comment_1","x_6","five_min","ten_min"
"32","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:29.88",10M 29.88S,10,29.88,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"33","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:29.88",10M 29.88S,10,29.88,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"34","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:29.88",10M 29.88S,10,29.88,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",15,20
"35","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:29.88",10M 29.88S,10,29.88,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",15,20
"36","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",15,20
"37","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"38","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"39","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"40","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",15,20
"41","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",15,20
"42","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:11:25.42",11M 25.42S,11,25.42,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"43","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:15:06.64",15M 6.64S,15,6.64,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"44","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:15:06.64",15M 6.64S,15,6.64,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"45","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:15:23.04",15M 23.04S,15,23.04,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"46","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:15:23.04",15M 23.04S,15,23.04,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"47","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:15:23.04",15M 23.04S,15,23.04,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"48","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:16:10.10",16M 10.1S,16,10.1,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",20,20
"49","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:20.17",17M 20.17S,17,20.17,">1m","100% S","Mammalia","Phocidae","Phoca vitulina","Phoca","vitulina","Harbor seal",37,"PHVI",1,"positive ID?","",20,20
"50","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.67",17M 32.67S,17,32.67,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"51","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.67",17M 32.67S,17,32.67,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"52","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.67",17M 32.67S,17,32.67,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"53","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.67",17M 32.67S,17,32.67,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"54","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.67",17M 32.67S,17,32.67,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","background",20,20
"55","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.82",17M 32.82S,17,32.82,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"56","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.82",17M 32.82S,17,32.82,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"57","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:32.82",17M 32.82S,17,32.82,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",20,20
"58","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:17:36.54",17M 36.54S,17,36.54,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",20,20
"59","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:07.27",20M 7.27S,20,7.27,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"60","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:07.27",20M 7.27S,20,7.27,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
"61","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:20:07.27",20M 7.27S,20,7.27,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",25,30
