"","site_code","op_code","date","day","month","year","bruv","subclass","family.x","genus.x","species.x","sp_code","common","max_n","MPA","site_full","geog","type"
"60","REFU","REFU_22Jul19_bruv1",2019-07-22,22,7,2019,"1","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",1,0,"Refugio",4,"Reference"
"61","REFU","REFU_22Jul19_bruv3",2019-07-22,22,7,2019,"3","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",1,0,"Refugio",4,"Reference"
"62","REFU","REFU_22Jul19_bruv3",2019-07-22,22,7,2019,"3","Invertebrate","Cancridae","Cancer","","CANC","Crab",2,0,"Refugio",4,"Reference"
"63","REFU","REFU_22Jul19_bruv3",2019-07-22,22,7,2019,"3","Actinopterygii","Embiotocidae","Cymatogaster","aggregata","CAGG","Shiner perch",1,0,"Refugio",4,"Reference"
"64","REFU","REFU_22Jul19_bruv3",2019-07-22,22,7,2019,"3","Invertebrate","Olividae","Callianax","biplicata","CABI","Purple olive shell",2,0,"Refugio",4,"Reference"
"65","REFU","REFU_22Jul19_bruv3",2019-07-22,22,7,2019,"3","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",2,0,"Refugio",4,"Reference"
"66","REFU","REFU_22Jul19_bruv3",2019-07-22,22,7,2019,"3","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",2,0,"Refugio",4,"Reference"
"67","REFU","REFU_22Jul19_bruv6",2019-07-22,22,7,2019,"6","Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside",1,0,"Refugio",4,"Reference"
"68","REFU","REFU_22Jul19_bruv6",2019-07-22,22,7,2019,"6","Invertebrate","Blepharipodidae","Blepharipoda","occidentalis","BLOC","Spiny sand crab",1,0,"Refugio",4,"Reference"
"69","REFU","REFU_22Jul19_bruv6",2019-07-22,22,7,2019,"6","Invertebrate","Olividae","Callianax","biplicata","CABI","Purple olive shell",2,0,"Refugio",4,"Reference"
"70","REFU","REFU_22Jul19_bruv6",2019-07-22,22,7,2019,"6",NA,"Paralichthyidae","","",NA,NA,1,0,"Refugio",4,"Reference"
"71","REFU","REFU_22Jul19_bruv6",2019-07-22,22,7,2019,"6","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",1,0,"Refugio",4,"Reference"
"72","REFU","REFU_22Jul19_bruv6",2019-07-22,22,7,2019,"6","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",2,0,"Refugio",4,"Reference"
"73","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside",2,0,"Refugio",4,"Reference"
"74","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1",NA,"Embiotocidae","","",NA,NA,1,0,"Refugio",4,"Reference"
"75","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",2,0,"Refugio",4,"Reference"
"76","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch",1,0,"Refugio",4,"Reference"
"77","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Actinopterygii","Embiotocidae","Hyperprosopon","ellipticum","HYEL","Silver surfperch",18,0,"Refugio",4,"Reference"
"78","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",1,0,"Refugio",4,"Reference"
"79","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",1,0,"Refugio",4,"Reference"
"80","REFU","REFU_05Sep19_bruv1",2019-09-05,5,9,2019,"1","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,0,"Refugio",4,"Reference"
"81","REFU","REFU_05Sep19_bruv3",2019-09-05,5,9,2019,"3","Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside",1,0,"Refugio",4,"Reference"
"82","REFU","REFU_05Sep19_bruv3",2019-09-05,5,9,2019,"3","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",1,0,"Refugio",4,"Reference"
"83","REFU","REFU_05Sep19_bruv3",2019-09-05,5,9,2019,"3","Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch",10,0,"Refugio",4,"Reference"
"84","REFU","REFU_05Sep19_bruv3",2019-09-05,5,9,2019,"3",NA,"Paralichthyidae","","",NA,NA,1,0,"Refugio",4,"Reference"
"85","REFU","REFU_05Sep19_bruv3",2019-09-05,5,9,2019,"3","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",1,0,"Refugio",4,"Reference"
"86","REFU","REFU_05Sep19_bruv3",2019-09-05,5,9,2019,"3","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,0,"Refugio",4,"Reference"
"87","REFU","REFU_05Sep19_bruv6",2019-09-05,5,9,2019,"6","Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside",2,0,"Refugio",4,"Reference"
"88","REFU","REFU_05Sep19_bruv6",2019-09-05,5,9,2019,"6","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",2,0,"Refugio",4,"Reference"
"89","REFU","REFU_05Sep19_bruv6",2019-09-05,5,9,2019,"6","Actinopterygii","Paralichthyidae","Paralichthys","californicus","PACA","California halibut",1,0,"Refugio",4,"Reference"
"90","REFU","REFU_05Sep19_bruv6",2019-09-05,5,9,2019,"6","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",1,0,"Refugio",4,"Reference"
"91","REFU","REFU_10Oct19_bruv1",2019-10-10,10,10,2019,"1","Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside",2,0,"Refugio",4,"Reference"
"92","REFU","REFU_10Oct19_bruv1",2019-10-10,10,10,2019,"1","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",5,0,"Refugio",4,"Reference"
"93","REFU","REFU_10Oct19_bruv1",2019-10-10,10,10,2019,"1",NA,"Cancridae","Cancer","sp",NA,NA,2,0,"Refugio",4,"Reference"
