Dot Point Measurements

Generated: Thursday, February 27, 2020 15:57:43

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PODU_20Aug19_bruv1_GP010073.MP4	  20545	00:23:24.82	DUCO_20Aug19_bruv1_data	00:13:24.80	392	1316	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	674	1449	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	32	494	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	381	966	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	405	1248	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	365	1581	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	483	1637	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20734	00:23:27.97	DUCO_20Aug19_bruv1_data	00:13:27.96	387	1715	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	396	884	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	397	1353	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	472	1355	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	422	1610	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	403	1770	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	524	1815	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	469	1660	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	531	1635	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20947	00:23:31.53	DUCO_20Aug19_bruv1_data	00:13:31.51	426	1025	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	412	1756	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	469	1877	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	529	1640	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	510	1485	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	599	1497	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	383	1496	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	517	1350	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	389	1152	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	360	570	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  21317	00:23:37.70	DUCO_20Aug19_bruv1_data	00:13:37.68	337	699	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  23732	00:24:17.99	DUCO_20Aug19_bruv1_data	00:14:17.97	362	1412	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  23732	00:24:17.99	DUCO_20Aug19_bruv1_data	00:14:17.97	390	793	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  23732	00:24:17.99	DUCO_20Aug19_bruv1_data	00:14:17.97	595	877	DUCO_20Aug19_bruv1	Jessica Madden											Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  24635	00:24:33.05	DUCO_20Aug19_bruv1_data	00:14:33.04	314	979	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  24635	00:24:33.05	DUCO_20Aug19_bruv1_data	00:14:33.04	378	481	DUCO_20Aug19_bruv1	Jessica Madden											Myliobatidae	Myliobatis	californica	29	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  26145	00:24:58.25	DUCO_20Aug19_bruv1_data	00:14:58.23	462	225	DUCO_20Aug19_bruv1	Jessica Madden											Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  26145	00:24:58.25	DUCO_20Aug19_bruv1_data	00:14:58.23	494	945	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  28656	00:25:40.14	DUCO_20Aug19_bruv1_data	00:15:40.12	324	150	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  28656	00:25:40.14	DUCO_20Aug19_bruv1_data	00:15:40.12	394	818	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  28656	00:25:40.14	DUCO_20Aug19_bruv1_data	00:15:40.12	572	333	DUCO_20Aug19_bruv1	Jessica Madden											Triakidae	Triakis	semifasciata	30	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  29214	00:25:49.45	DUCO_20Aug19_bruv1_data	00:15:49.43	567	1029	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
